fiber,t_min_bin,regime,pheno_band,n_worlds,p_hat,heterogeneity_std_L,c_over_l_bar,L_bar,A_e,cost_loss,DRO,pin_t_min,pin_L_real,pin_phenology,pin_regime,divergence_cl_acts_Ae_doesnt
"(-6.0, 'radiative', 'vulnerable')",-6.0,radiative,vulnerable,390,0.9357,0.2508,0.2,0.5,REV,AEX,REV,-2.44,0.0,budbreak,radiative,1
"(-6.0, 'radiative', 'vulnerable')",-6.0,radiative,vulnerable,390,0.9357,0.2508,0.5,0.2,REV,AEX,REV,-2.44,0.0,budbreak,radiative,1
"(-6.0, 'radiative', 'hardy')",-6.0,radiative,hardy,288,0.9364,0.0963,0.05,2.0,REV,AEX,REV,-4.39,0.0006,dormant,radiative,1
"(-6.0, 'radiative', 'hardy')",-6.0,radiative,hardy,288,0.9364,0.0963,0.1,1.0,REV,AEX,REV,-4.39,0.0006,dormant,radiative,1
"(-6.0, 'radiative', 'hardy')",-6.0,radiative,hardy,288,0.9364,0.0963,0.2,0.5,REV,AEX,REV,-4.39,0.0006,dormant,radiative,1
"(-6.0, 'radiative', 'hardy')",-6.0,radiative,hardy,288,0.9364,0.0963,0.5,0.2,REV,AEX,REV,-4.39,0.0006,dormant,radiative,1
"(-1.0, 'radiative', 'hardy')",-1.0,radiative,hardy,2000,0.0813,0.0081,0.05,2.0,REV,AEX,REV,-0.08,0.0,dormant,radiative,1
"(-1.0, 'radiative', 'hardy')",-1.0,radiative,hardy,2000,0.0813,0.0081,0.1,1.0,REV,REV,REV,-0.08,0.0,dormant,radiative,0
"(-1.0, 'radiative', 'hardy')",-1.0,radiative,hardy,2000,0.0813,0.0081,0.2,0.5,REV,REV,REV,-0.08,0.0,dormant,radiative,0
"(-1.0, 'radiative', 'hardy')",-1.0,radiative,hardy,2000,0.0813,0.0081,0.5,0.2,REV,REV,REV,-0.08,0.0,dormant,radiative,0
"(5.0, 'advective', 'vulnerable')",5.0,advective,vulnerable,86,0.0,0.0,0.05,2.0,REV,REV,REV,3.48,0.0,budbreak,advective,0
"(5.0, 'advective', 'vulnerable')",5.0,advective,vulnerable,86,0.0,0.0,0.1,1.0,REV,REV,REV,3.48,0.0,budbreak,advective,0
"(5.0, 'advective', 'vulnerable')",5.0,advective,vulnerable,86,0.0,0.0,0.2,0.5,REV,REV,REV,3.48,0.0,budbreak,advective,0
"(5.0, 'advective', 'vulnerable')",5.0,advective,vulnerable,86,0.0,0.0,0.5,0.2,REV,REV,REV,3.48,0.0,budbreak,advective,0
"(4.0, 'advective', 'vulnerable')",4.0,advective,vulnerable,237,0.0,0.0,0.05,2.0,REV,REV,REV,2.17,0.0,leaf_out,advective,0
